Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C58, C61, C62",0402,5,100n,
"C10, C11, C12, C13, C14, C3, C4, C5, C57, C6, C72, C8, C9",0402,13,1u,
"C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C51, C70, C71, C73, C74",0402,16,10u,
"C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C52, C53, C56",0402,14,2.2u,
"C54, C55",0402,2,470n,
"C59, C60",0402,2,18p,
C63,0402,1,220n,
C64,0402,1,1n,
"C65, C68",0402,2,4.7u,
"C66, C67, C69",1206,3,47u,
C7,0402,1,2.2p,
"D1, D2",0603,2,LED,
D3,SOT-23,1,SP0502BAHT,
D4,D_SOD-323_HandSoldering,1,D_Schottky,
J1,microSD_HC_Hirose_DM3AT-SF-PEJM5,1,Micro_SD_Card_Det2,
J2,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,
J3,USB_A_Molex_67643_Horizontal,1,USB_A,
"L1, L2, L6",L_Changjiang_FNR252010S,3,"1,5uH",
"R1, R15, R16, R17, R18, R2",0402,6,2k,
R10,0402,1,1R,
R11,0402,1,33R,
"R12, R13, R20, R25, R26",0402,5,10k,
R14,0402,1,1k,
R19,0402,1,150k,
"R21, R22",0402,2,5.1k,
"R27, R28",0402,2,NC,
R29,0402,1,0R,
"R3, R5, R6",0402,3,240R,
R4,0402,1,100R,
"TP10, TP11, TP12, TP13, TP14, TP2, TP3, TP4, TP5, TP7, TP8, TP9",TestPoint_THTPad_D1.0mm_Drill0.5mm,12,TestPoint,
U1,H616_TFBGA284,1,H616,
U2,BGA-96_9.0x13.0mm_Layout2x3x16_P0.8mm,1,DDR3 FBGA-96,
U4,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,CP2102N-Axx-xQFN28,
U5,QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm_ThermalVias,1,~,
Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,25MHz,
